https://w.atwiki.jp/ggirluriage/sp/pages/14.html#ldA-1
TMGS 3rd Story,DS,Konami,173049,64630
Ruka Sakurai
Kouichi Sakurai
Arashi Fujiyama
Junpei Niina
Tamao Konno
Seiji Shitara
TMGS 2nd Season,DS,Konami,163943,56202
Teru Saeki
Katsumi Shiba
Itaru Hikami
Kounoshin Hariya
Motoharu Masaki
Shota Amachi
Uta no Prince-sama Repeat,PSP,Nippon Ichi Software,144555,32180
Ittoki Otoya
Hijirikawa Masato
Shinomiya Natsuki
Ichinose Tokiya
Jinguji Ren
Kurusu Syo
Uta no Prince-sama All Star,PSP,Nippon Ichi Software,111898,67217
Kotobuki Reiji
Kurosaki Ranmaru
Mikaze Ai
Ittoki Otoya
Tsukimiya Ringo
Hyuga Ryuya
Hakuouki Portable,PSP,Design factory,111633,16764
Toshizo Hijikata
Souji Okita
Hajime Saito
Heisuke Toudou
Sanosuke Harada
Chikage Kazama
Tokimeki Memorial Girl's Side,PS2,Konami,110628,34591
Hikaru Midorikawa
Sakuya Morimura
Kazuma Suzuka
Madoka Kijo
Shiki Mihara
Reiichi Himuro
Uta no Prince-sama MUSIC2,PSP,Nippon Ichi Software,94145,68415
Ittoki Otoya
Jinguji Ren
Kurusu Syo
Aijima Cecil
Mikaze Ai
Kotobuki Reiji
Uta no Prince-sama Debut,PSP,Nippon Ichi Software,91247,68617
Ittoki Otoya
Hijirikawa Masato
Shinomiya Natsuki
Ichinose Tokiya
Jinguji Ren
Kurusu Syo
Hakuouki DS,DS,Design factory,79318,14921
Toshizo Hijikata
Souji Okita
Hajime Saito 
Heisuke Toudou
Sanosuke Harada
Shinpachi Nagakura
Golden Corda 2,PS2,Koei,46675,35914
Ren Tsukimori
Keiichi Shimizu
HiHara Kazuki
Yuki Azusauma
Aoi Kaji
Akihiko Kira
